name,ring,quadrant,isNew,description
Delta,assess,tools,TRUE,"This is the description. You can use basic html such as the <strong>strong tag to emphasise keywords and phrases</strong> and insert <a href=""https://www.thoughtworks.com"">anchor links to documentation and referance material</a>."
Vault,assess,tools,TRUE,
Etcd,assess,tools,TRUE,
App Dynamics,assess,tools,TRUE,
Aurelia,assess,languages & frameworks,FALSE,
VR beyond gaming,assess,techniques,FALSE,
EventStore,trial,tools,FALSE,
Camunda,trial,tools,TRUE,
Apache Spline,trial,tools,TRUE,
Apache Atlas,trial,tools,TRUE,
Databricks,trial,tools,FALSE,
Databricks Notebook,trial,tools,FALSE,
Datadog,trial,tools,FALSE,
New Relic,trial,tools,FALSE,
S3 Datalake,trial,tools,TRUE,
ClearDATA,trial,tools,FALSE,
Butterknife,trial,languages & frameworks,FALSE,
Kubernetes,trial,platforms,FALSE,
Apache Mesos,trial,platforms,FALSE,
APIs as a product,trial,techniques,TRUE,
Apache Kafka,adopt,tools,TRUE,"Owner:  Arpan, Platform:  Cloud"
Blazemeter,adopt,tools,TRUE,
Postgres,adopt,tools,FALSE,
Apache Spark,adopt,tools,FALSE,
IBM App Scan,adopt,tools,FALSE,
Ember.js,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
Java,adopt,languages & frameworks,FALSE,
Spring Boot,adopt,languages & frameworks,FALSE,
Docker,adopt,platforms,FALSE,
.NET Core,adopt,platforms,FALSE,
AWS Lambda,adopt,platforms,FALSE,
Consumer-driven contract testing,adopt,techniques,FALSE,
ActiveMQ,hold,tools,FALSE,
Redis,hold,tools,FALSE,
AngularJS,hold,languages & frameworks,FALSE,
CMS as a platform,hold,platforms,FALSE,
Cloud lift and shift,hold,techniques,FALSE,
